uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
b3bcf636-907c-40d0-b387-a2f72e152691,"Griaule, Marcel, 1898-1956",Dogon masks,1938,270,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"575,773,774,775,783",https://ehrafworldcultures.yale.edu/sres/b3bcf636-907c-40d0-b387-a2f72e152691
e9289e56-98c4-4498-91f2-a9499428241d,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,89,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"191,578,769,775,822",https://ehrafworldcultures.yale.edu/sres/e9289e56-98c4-4498-91f2-a9499428241d
2e83c0bc-16db-4117-bcb1-da0e9699bce2,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,531,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"273,769",https://ehrafworldcultures.yale.edu/sres/2e83c0bc-16db-4117-bcb1-da0e9699bce2
0de09569-fec7-4a84-be54-b1a917c6a18e,"Dieterlen, Germaine",The souls of the Dogons,1941,307,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"769,774,775",https://ehrafworldcultures.yale.edu/sres/0de09569-fec7-4a84-be54-b1a917c6a18e
b26135b2-891e-47ae-a4f5-4ff5212f8f0e,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,92,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,769,https://ehrafworldcultures.yale.edu/sres/b26135b2-891e-47ae-a4f5-4ff5212f8f0e
df67bf31-2572-4bea-8803-b938aab6e2e5,"Griaule, Marcel, 1898-1956",Conversation with Ogotemmêli,1965,178,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"769,771,773,796",https://ehrafworldcultures.yale.edu/sres/df67bf31-2572-4bea-8803-b938aab6e2e5
01db8044-96d7-4bfb-9da0-281559c60929,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,538,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"575,769,776,794",https://ehrafworldcultures.yale.edu/sres/01db8044-96d7-4bfb-9da0-281559c60929
cb6b251e-29a8-47fa-9b73-95a4a8c2f3c5,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,531,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"273,769",https://ehrafworldcultures.yale.edu/sres/cb6b251e-29a8-47fa-9b73-95a4a8c2f3c5
c47cb2e9-7b6c-4495-9d52-8e51ac8f5b47,"Griaule, Marcel, 1898-1956",Dogon masks,1938,79,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"539,765,774,775",https://ehrafworldcultures.yale.edu/sres/c47cb2e9-7b6c-4495-9d52-8e51ac8f5b47
fdad7343-b82e-4d8f-b38d-1fa27984150a,"Griaule, Marcel, 1898-1956",Conversation with Ogotemmêli,1965,180,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"765,775",https://ehrafworldcultures.yale.edu/sres/fdad7343-b82e-4d8f-b38d-1fa27984150a
005c2dd3-ed01-4492-9d97-d5fb3f4dc022,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,88,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"578,761,769,823,828,844",https://ehrafworldcultures.yale.edu/sres/005c2dd3-ed01-4492-9d97-d5fb3f4dc022
fb150f51-fff7-4267-acec-811f03fc3db9,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,529,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"765,769,775,851",https://ehrafworldcultures.yale.edu/sres/fb150f51-fff7-4267-acec-811f03fc3db9
930b9f19-529c-480a-9499-2fafc7df6b5b,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,554,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"273,769",https://ehrafworldcultures.yale.edu/sres/930b9f19-529c-480a-9499-2fafc7df6b5b
9b45e117-b5b8-4ca7-ad00-f41f66e289a4,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,529,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"761,769,775",https://ehrafworldcultures.yale.edu/sres/9b45e117-b5b8-4ca7-ad00-f41f66e289a4
ef04a1fb-7b2a-48f6-827d-899d234510b1,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,536,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"769,771,776",https://ehrafworldcultures.yale.edu/sres/ef04a1fb-7b2a-48f6-827d-899d234510b1
3313aa0a-c41f-44a9-bd2e-8d431ce635ff,"Griaule, Marcel, 1898-1956",Dogon masks,1938,761,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"152,182,532,761,769,783",https://ehrafworldcultures.yale.edu/sres/3313aa0a-c41f-44a9-bd2e-8d431ce635ff
4312d3d8-c1dc-40cd-b11a-665e67012f0a,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,88,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"763,775,821",https://ehrafworldcultures.yale.edu/sres/4312d3d8-c1dc-40cd-b11a-665e67012f0a
5221f1f3-0a44-4ffa-b40a-e8a3c41fac22,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,87,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"761,774,775",https://ehrafworldcultures.yale.edu/sres/5221f1f3-0a44-4ffa-b40a-e8a3c41fac22
2dc42290-361b-4f9d-9c17-4d394e9a358b,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,553,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"765,775",https://ehrafworldcultures.yale.edu/sres/2dc42290-361b-4f9d-9c17-4d394e9a358b
25b19073-082f-40d3-8a14-dbb855b0b8ff,"Griaule, Marcel, 1898-1956",Dogon masks,1938,371,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"293,765,778,796",https://ehrafworldcultures.yale.edu/sres/25b19073-082f-40d3-8a14-dbb855b0b8ff
e2bdd843-9bd8-496d-94e4-9074103d642d,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,457,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"344,775,821",https://ehrafworldcultures.yale.edu/sres/e2bdd843-9bd8-496d-94e4-9074103d642d
5e595997-b299-4700-a964-1cd9f67a8589,"Griaule, Marcel, 1898-1956",Dogon masks,1938,676,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"534,773",https://ehrafworldcultures.yale.edu/sres/5e595997-b299-4700-a964-1cd9f67a8589
22b024c2-d09b-4eff-b4f6-2ec21eda1e23,"Calame-Griaule, Geneviève",Words and the Dogon world,1986,503,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"769,775,776",https://ehrafworldcultures.yale.edu/sres/22b024c2-d09b-4eff-b4f6-2ec21eda1e23
aaaadcbd-07d9-404c-ba94-5d9efaa6e416,"Griaule, Marcel, 1898-1956",Dogon masks,1938,284,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"532,575,761,764,775",https://ehrafworldcultures.yale.edu/sres/aaaadcbd-07d9-404c-ba94-5d9efaa6e416
c0bff22f-fdbb-4998-91c4-610c5d168d45,"Griaule, Marcel, 1898-1956",Dogon masks,1938,598,"Component part(s), monograph",Dogon,Africa,Western Africa,intensive agriculturalists,,"532,769,778",https://ehrafworldcultures.yale.edu/sres/c0bff22f-fdbb-4998-91c4-610c5d168d45
