uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
cf33cc12-10b8-4749-a7e1-1b05a66a52ff,"Waters, Frank, 1902-",Book of the Hopi,1963,167,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,776,https://ehrafworldcultures.yale.edu/sres/cf33cc12-10b8-4749-a7e1-1b05a66a52ff
4e987458-ebc6-4bcc-bacd-3969a982786a,"Beaglehole, Ernest, 1906-",Hopi of the second mesa,1935,5,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"575,754,775,789",https://ehrafworldcultures.yale.edu/sres/4e987458-ebc6-4bcc-bacd-3969a982786a
1f4d9d1e-56b9-453e-9b97-c856cae14db5,"Beaglehole, Ernest, 1906-",Hopi of the second mesa,1935,13,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"765,775,782,783,789",https://ehrafworldcultures.yale.edu/sres/1f4d9d1e-56b9-453e-9b97-c856cae14db5
f857932a-3bac-46ea-b3c2-492887d5b7cb,"Voth, Henry R., 1855-1931",The traditions of the Hopi,1905,114,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"539,775",https://ehrafworldcultures.yale.edu/sres/f857932a-3bac-46ea-b3c2-492887d5b7cb
a8335a25-1a50-4703-9b6d-a97a4b91673a,"Voth, Henry R., 1855-1931",The Oráibi Oáqöl ceremony,1903,11,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"237,778,796,821",https://ehrafworldcultures.yale.edu/sres/a8335a25-1a50-4703-9b6d-a97a4b91673a
19d0bd5c-a06e-43ff-a76e-8d43236f00b0,"Beaglehole, Ernest, 1906-",Hopi of the second mesa,1935,13,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"178,553,765,766,774,775,782",https://ehrafworldcultures.yale.edu/sres/19d0bd5c-a06e-43ff-a76e-8d43236f00b0
75a40ffd-36f6-4f7d-9852-44bb9b921ad4,"Clemmer, Richard O.","“Then you will rise and strike my head from my neck”: Hopi
         prophecy and the discourse of empowerment",1995,45,Journal Article,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"773,776",https://ehrafworldcultures.yale.edu/sres/75a40ffd-36f6-4f7d-9852-44bb9b921ad4
3d78ee22-a501-4e6d-a1c8-306801363e72,"Cox, Bruce Alden",Law and conflict management among the Hopi,1969,130,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"184,626,665,775,782,789,796,881",https://ehrafworldcultures.yale.edu/sres/3d78ee22-a501-4e6d-a1c8-306801363e72
73eb4abd-0a50-4e71-89d5-a93e56ae33d3,"Voth, Henry R., 1855-1931",The traditions of the Hopi,1905,19,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"539,775",https://ehrafworldcultures.yale.edu/sres/73eb4abd-0a50-4e71-89d5-a93e56ae33d3
25739a52-f90a-4263-8962-0a9eef2f5d4c,"Clemmer, Richard O.","“Then you will rise and strike my head from my neck”: Hopi
         prophecy and the discourse of empowerment",1995,43,Journal Article,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"773,774,775,787,823",https://ehrafworldcultures.yale.edu/sres/25739a52-f90a-4263-8962-0a9eef2f5d4c
bc7c1fde-b4c0-453b-8585-9c81b10dfa5c,"Beaglehole, Ernest, 1906-1965",Notes on Hopi economic life,1937,23,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"221,775,796,805",https://ehrafworldcultures.yale.edu/sres/bc7c1fde-b4c0-453b-8585-9c81b10dfa5c
028df134-cd75-4e39-9612-2a7de082fc2a,"Frigout, Arlette",Hopi ceremonial organization,1979,p.574,Essay,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"575,775,796,881",https://ehrafworldcultures.yale.edu/sres/028df134-cd75-4e39-9612-2a7de082fc2a
460ac045-d2f8-458c-be49-0114d8075a73,"Stephen, Alexander MacGregor, -1894",Hopi journal of Alexander M. Stephen,1969,150,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"593,604,761,764,772,775,776,885",https://ehrafworldcultures.yale.edu/sres/460ac045-d2f8-458c-be49-0114d8075a73
f3a717d8-8234-42b0-9dce-ae80e9b2745e,"Clemmer, Richard O.","“Then you will rise and strike my head from my neck”: Hopi
         prophecy and the discourse of empowerment",1995,45,Journal Article,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"514,575,773,776,785,787",https://ehrafworldcultures.yale.edu/sres/f3a717d8-8234-42b0-9dce-ae80e9b2745e
08d1a04e-61ea-4af4-a8eb-322ea9394c9d,"Stephen, Alexander MacGregor, -1894",Hopi journal of Alexander M. Stephen,1969,1081,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"575,614,701,776",https://ehrafworldcultures.yale.edu/sres/08d1a04e-61ea-4af4-a8eb-322ea9394c9d
4113c77c-b007-428c-8bfc-c9bd3de48da4,"Schlegel, Alice","Fathers, daughters, and kachina dolls",1989,[p.7],Journal Article,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"241,776,796,821",https://ehrafworldcultures.yale.edu/sres/4113c77c-b007-428c-8bfc-c9bd3de48da4
035c65ce-1d80-44a9-b05c-1017df375ab8,"Stephen, Alexander MacGregor, -1894",Hopi journal of Alexander M. Stephen,1969,xl,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"753,764,776,823,825",https://ehrafworldcultures.yale.edu/sres/035c65ce-1d80-44a9-b05c-1017df375ab8
ec7dbeaf-d42a-40e4-a114-c83f90568f89,"Beaglehole, Ernest, 1906-",Hopi of the second mesa,1935,15,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,787,https://ehrafworldcultures.yale.edu/sres/ec7dbeaf-d42a-40e4-a114-c83f90568f89
06c9842a-0b3d-4aea-a71a-ddca821ed47a,"Voth, Henry R., 1855-1931",The traditions of the Hopi,1905,115,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"539,764,775",https://ehrafworldcultures.yale.edu/sres/06c9842a-0b3d-4aea-a71a-ddca821ed47a
f3aa00d6-26b2-4a93-8129-bcadd7430cf6,"Voth, Henry R., 1855-1931",The traditions of the Hopi,1905,116,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"539,764,775,778",https://ehrafworldcultures.yale.edu/sres/f3aa00d6-26b2-4a93-8129-bcadd7430cf6
38a1789f-c250-4486-8c36-019a6d4297f5,"Stephen, Alexander MacGregor, -1894",Hopi journal of Alexander M. Stephen,1969,1201,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"104,128,164,237,361,437,539,772,773,776,778,782,821",https://ehrafworldcultures.yale.edu/sres/38a1789f-c250-4486-8c36-019a6d4297f5
251ba454-d691-41ec-94f9-557b1f8d6fbb,"Waters, Frank, 1902-",Book of the Hopi,1963,165,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"772,775,776",https://ehrafworldcultures.yale.edu/sres/251ba454-d691-41ec-94f9-557b1f8d6fbb
b23ed587-2894-4d62-a0ec-8a8159d9dc87,"Stephen, Alexander MacGregor, -1894",Hopi journal of Alexander M. Stephen,1969,118,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"771,773,778,782,796,823",https://ehrafworldcultures.yale.edu/sres/b23ed587-2894-4d62-a0ec-8a8159d9dc87
27f3f550-a680-486d-a45e-ae04ff0bd809,"Fewkes, Jesse Walter, 1850-1930",The use of idols in Hopi worship,1924,383,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"175,177,771,776,778",https://ehrafworldcultures.yale.edu/sres/27f3f550-a680-486d-a45e-ae04ff0bd809
213878a2-0d3b-4c9d-a5f0-1ea53a7688f8,"Beaglehole, Ernest, 1906-1965",Notes on Hopi economic life,1937,53,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"317,776,778,782,784,787",https://ehrafworldcultures.yale.edu/sres/213878a2-0d3b-4c9d-a5f0-1ea53a7688f8
51fa9af4-ba2e-43b0-9c82-cb80558ba1c7,"Whiteley, Peter M.","Deliberate acts: changing Hopi culture through thr Oraibi
         split",1988,267,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"771,777,789",https://ehrafworldcultures.yale.edu/sres/51fa9af4-ba2e-43b0-9c82-cb80558ba1c7
50ab3998-e187-448b-a02a-7149fba3abbf,"Whiteley, Peter M.","Deliberate acts: changing Hopi culture through thr Oraibi
         split",1988,270,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"000,171,773,778,787",https://ehrafworldcultures.yale.edu/sres/50ab3998-e187-448b-a02a-7149fba3abbf
fff631d1-1b2f-4f1c-8d88-8e7737a96dcd,"Beaglehole, Ernest, 1906-1965",Notes on Hopi economic life,1937,57,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"285,323,386,771,777,782,784",https://ehrafworldcultures.yale.edu/sres/fff631d1-1b2f-4f1c-8d88-8e7737a96dcd
61d7e72b-f047-494e-b23d-9473f3f51d8f,"Whiteley, Peter M.","Deliberate acts: changing Hopi culture through thr Oraibi
         split",1988,267,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"771,777,789",https://ehrafworldcultures.yale.edu/sres/61d7e72b-f047-494e-b23d-9473f3f51d8f
21b6721b-7420-4226-bea7-55e49cfb1e9e,"Waters, Frank, 1902-",Book of the Hopi,1963,189,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"771,772,796",https://ehrafworldcultures.yale.edu/sres/21b6721b-7420-4226-bea7-55e49cfb1e9e
d6153580-e28c-4e1a-a790-0e358e65cd28,"Waters, Frank, 1902-",Book of the Hopi,1963,158,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"533,772,778,796,821",https://ehrafworldcultures.yale.edu/sres/d6153580-e28c-4e1a-a790-0e358e65cd28
8e35da63-46c9-428c-b277-1f9713d56148,"Waters, Frank, 1902-",Book of the Hopi,1963,135,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"243,771,772,778",https://ehrafworldcultures.yale.edu/sres/8e35da63-46c9-428c-b277-1f9713d56148
14aec1a9-2883-44eb-9d26-d5292b08dbd3,"Waters, Frank, 1902-",Book of the Hopi,1963,23,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"172,532,772,773",https://ehrafworldcultures.yale.edu/sres/14aec1a9-2883-44eb-9d26-d5292b08dbd3
3aefc2ac-29e0-4d62-88c4-9d0cc0001a41,"Whiteley, Peter M.","Deliberate acts: changing Hopi culture through thr Oraibi
         split",1988,268,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"554,571,777,778",https://ehrafworldcultures.yale.edu/sres/3aefc2ac-29e0-4d62-88c4-9d0cc0001a41
a88ed4c9-13ea-4be0-a37f-913ae2b446be,"Clemmer, Richard O.","“Then you will rise and strike my head from my neck”: Hopi
         prophecy and the discourse of empowerment",1995,51,Journal Article,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"171,177,772,787",https://ehrafworldcultures.yale.edu/sres/a88ed4c9-13ea-4be0-a37f-913ae2b446be
027e7145-570b-452f-81ad-4321d2721c7d,"Waters, Frank, 1902-",Book of the Hopi,1963,24,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"532,772,773",https://ehrafworldcultures.yale.edu/sres/027e7145-570b-452f-81ad-4321d2721c7d
efd5474e-45a7-4880-a664-847000f3a3eb,"Waters, Frank, 1902-",Book of the Hopi,1963,166,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"532,534,772,776,852",https://ehrafworldcultures.yale.edu/sres/efd5474e-45a7-4880-a664-847000f3a3eb
a9303a33-ecd7-44a2-a8b9-9f3743b2bd7e,"Beaglehole, Ernest, 1906-1965",Hopi hunting and Hunting fritual,1970,10,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"224,777,787",https://ehrafworldcultures.yale.edu/sres/a9303a33-ecd7-44a2-a8b9-9f3743b2bd7e
dcdca063-847c-464a-be15-7a878fca5dde,"Waters, Frank, 1902-",Book of the Hopi,1963,23,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"532,772,773",https://ehrafworldcultures.yale.edu/sres/dcdca063-847c-464a-be15-7a878fca5dde
e67e5fc7-6053-42b9-a7f3-b57ba04b53fa,"Waters, Frank, 1902-",Book of the Hopi,1963,23,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"532,772,773",https://ehrafworldcultures.yale.edu/sres/e67e5fc7-6053-42b9-a7f3-b57ba04b53fa
cbe372bf-fec1-4b32-94f7-5e0247dc9baf,"Waters, Frank, 1902-",Book of the Hopi,1963,192,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"554,761,771,772,793,794,796",https://ehrafworldcultures.yale.edu/sres/cbe372bf-fec1-4b32-94f7-5e0247dc9baf
