uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
e9e3fdc3-2dd7-469a-9c65-36cfa37094f4,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,132,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/e9e3fdc3-2dd7-469a-9c65-36cfa37094f4
4c452766-44bd-4af1-85de-d93d66be42f5,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,128,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/4c452766-44bd-4af1-85de-d93d66be42f5
8a3956f8-7eac-4224-ad45-9a0cc9c595c7,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,129,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/8a3956f8-7eac-4224-ad45-9a0cc9c595c7
a9656d1e-8dce-4038-82f3-59ce264263ca,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,128,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/a9656d1e-8dce-4038-82f3-59ce264263ca
b97f17ca-5326-4f0f-b830-7c7a04249aeb,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,57,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"755,775,776,787,793",https://ehrafworldcultures.yale.edu/sres/b97f17ca-5326-4f0f-b830-7c7a04249aeb
af49fb31-7b92-4dbf-9e6d-87c4846add4a,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,138,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/af49fb31-7b92-4dbf-9e6d-87c4846add4a
bc2c9815-21f0-4bb0-bead-2287c217bc58,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,131,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/bc2c9815-21f0-4bb0-bead-2287c217bc58
0e9adcce-a9a5-4d95-a771-c4690d9da42a,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,57,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"755,775,776,787",https://ehrafworldcultures.yale.edu/sres/0e9adcce-a9a5-4d95-a771-c4690d9da42a
da425fa3-c135-4c10-8d58-c4fcb1fca7a4,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,130,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/da425fa3-c135-4c10-8d58-c4fcb1fca7a4
f928c400-0f9f-4664-a753-ea7fbe25bab9,"Lambrecht, Francis",The Mayawyaw ritual: VI. illness and its ritual,1955,134,Journal Article,Ifugao,Asia,Southeast Asia,intensive agriculturalists,,"539,752,755,775,776,782,787,793",https://ehrafworldcultures.yale.edu/sres/f928c400-0f9f-4664-a753-ea7fbe25bab9
