uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
0b35bcb6-5583-42fd-ad34-0b6042c498c3,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,44-45,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,171,769,774",https://ehrafworldcultures.yale.edu/sres/0b35bcb6-5583-42fd-ad34-0b6042c498c3
6b5143f7-6f5b-4600-a642-0cc86351eb03,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,40 [2],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,761,769",https://ehrafworldcultures.yale.edu/sres/6b5143f7-6f5b-4600-a642-0cc86351eb03
df119579-e657-4663-9c64-c389d048d186,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,41 [3],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,773,775",https://ehrafworldcultures.yale.edu/sres/df119579-e657-4663-9c64-c389d048d186
e15dd551-9ee1-4b01-be65-4363dde3ae66,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,42,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,761,775",https://ehrafworldcultures.yale.edu/sres/e15dd551-9ee1-4b01-be65-4363dde3ae66
4a1ad110-0e06-4ebf-961d-5076e7b6067e,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,48,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,196,775,779,812",https://ehrafworldcultures.yale.edu/sres/4a1ad110-0e06-4ebf-961d-5076e7b6067e
fbbc16e4-458f-4c8e-bbe9-307cb6e755dd,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,686-687,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,422,778,783,789",https://ehrafworldcultures.yale.edu/sres/fbbc16e4-458f-4c8e-bbe9-307cb6e755dd
1bd38b3f-cd79-48a7-9780-f88e4c33d8bd,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,164-165,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,775,796,823",https://ehrafworldcultures.yale.edu/sres/1bd38b3f-cd79-48a7-9780-f88e4c33d8bd
363ceb4c-c47a-4169-87d0-b9f92e88051a,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,114,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,422,764,778,796",https://ehrafworldcultures.yale.edu/sres/363ceb4c-c47a-4169-87d0-b9f92e88051a
7ebf669f-0537-413b-a646-bb08bfcc9869,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,81 [3],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,753,769",https://ehrafworldcultures.yale.edu/sres/7ebf669f-0537-413b-a646-bb08bfcc9869
89bca21b-6e38-4039-b236-c25625bb8431,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,41-42 1-2,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,773",https://ehrafworldcultures.yale.edu/sres/89bca21b-6e38-4039-b236-c25625bb8431
411ffc4c-97d5-4ecd-ba8a-6ff35a0e5206,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,173,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,562,769,796,843",https://ehrafworldcultures.yale.edu/sres/411ffc4c-97d5-4ecd-ba8a-6ff35a0e5206
c18eb57d-ec05-43b8-b114-8256a75aee70,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,81 [2],"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,753,776",https://ehrafworldcultures.yale.edu/sres/c18eb57d-ec05-43b8-b114-8256a75aee70
89d7aab3-88bb-4796-bce9-5e46d9b20a61,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,338-339 1-2,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,756,778,796",https://ehrafworldcultures.yale.edu/sres/89d7aab3-88bb-4796-bce9-5e46d9b20a61
f43d49df-6df9-4614-919b-bbd4d2f89bdc,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,43,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"114,116,171,775,777",https://ehrafworldcultures.yale.edu/sres/f43d49df-6df9-4614-919b-bbd4d2f89bdc
da9713ae-1fb6-4dd6-92fe-9497b17d599f,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,48-49,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"116,769,775,779,782",https://ehrafworldcultures.yale.edu/sres/da9713ae-1fb6-4dd6-92fe-9497b17d599f
e1754b51-abaf-4abe-b1d1-ad93b3187125,"Reichard, Gladys Amanda, 1893-1955",Navaho religion: a study of symbolism,1950,42-43 2,"Component part(s), monograph",Navajo,North America,Southwest and Basin,agro-pastoralists,,"114,768,775",https://ehrafworldcultures.yale.edu/sres/e1754b51-abaf-4abe-b1d1-ad93b3187125
