uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
c718028d-e94a-4701-8997-784facc050eb,"Vilakazi, Absolom","Zulu transformations: a study of the dynamics of social
         change",1962,32,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"184,769,775,783",https://ehrafworldcultures.yale.edu/sres/c718028d-e94a-4701-8997-784facc050eb
43e12b83-5153-493e-b3f4-aa4510b325e9,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,230,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"775,787",https://ehrafworldcultures.yale.edu/sres/43e12b83-5153-493e-b3f4-aa4510b325e9
544a4f61-5392-4ba1-864e-a96eece7e86f,"Cetewayo, King of Zululand, approximately
         1826-1884","A Zulu king speaks: statements made by Cetshwayo kaMpande on
         the history and customs of his people",1978,77,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"775,776",https://ehrafworldcultures.yale.edu/sres/544a4f61-5392-4ba1-864e-a96eece7e86f
4429fcd7-86e8-49ed-a222-01fa6616f0a1,"Kresse, Kai","IZIBOBGO -- the political art of praising: poetical
         socio-regulative discourse in Zulu society",1998,179,Journal Article,Zulu,Africa,Southern Africa,agro-pastoralists,,"114,5310,554,769,775,782",https://ehrafworldcultures.yale.edu/sres/4429fcd7-86e8-49ed-a222-01fa6616f0a1
fe706688-5036-487e-a9ad-ea658585891e,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,160,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"753,775,787",https://ehrafworldcultures.yale.edu/sres/fe706688-5036-487e-a9ad-ea658585891e
872cf060-86dd-4c91-b461-3d47dfc70e34,"Raum, Otto Friedrich","The social functions of avoidances and taboos among the
         Zulu",1973,461,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"764,777,783",https://ehrafworldcultures.yale.edu/sres/872cf060-86dd-4c91-b461-3d47dfc70e34
52c8d005-7560-4b15-9046-99ef5a28f148,"Vilakazi, Absolom","Zulu transformations: a study of the dynamics of social
         change",1962,87,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"114,774,775",https://ehrafworldcultures.yale.edu/sres/52c8d005-7560-4b15-9046-99ef5a28f148
523e6f56-6020-4ab5-8fd6-c2758458f127,"Raum, Otto Friedrich","The social functions of avoidances and taboos among the
         Zulu",1973,387,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"262,264,622,769,782",https://ehrafworldcultures.yale.edu/sres/523e6f56-6020-4ab5-8fd6-c2758458f127
2ea4855c-464b-4de6-b7ca-e5197bab207a,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,177,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"755,763,769,787",https://ehrafworldcultures.yale.edu/sres/2ea4855c-464b-4de6-b7ca-e5197bab207a
dac683be-949e-4e8f-b6dc-e23700ad2861,"Grout, Lewis, 1815-1905","Zululand: or, life among the Zulu-Kafirs of Natal and
         Zulu-land, South Africa. With map, and illustrations, largely from original
         photographs",1864,137,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,769,https://ehrafworldcultures.yale.edu/sres/dac683be-949e-4e8f-b6dc-e23700ad2861
f87f8336-d03b-43d9-b5ca-4177eda4c06c,"Raum, Otto Friedrich","The social functions of avoidances and taboos among the
         Zulu",1973,538,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"565,775,825",https://ehrafworldcultures.yale.edu/sres/f87f8336-d03b-43d9-b5ca-4177eda4c06c
e8efef18-869a-4d90-9af7-f269d0aeaeb9,"Ngubane, Harriet","Body and mind in Zulu medicine: an ethnography of health and
         disease in Nyuswa-Zulu thought and practice",1977,144,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"754,787",https://ehrafworldcultures.yale.edu/sres/e8efef18-869a-4d90-9af7-f269d0aeaeb9
06d9b3ee-cfdf-4dfd-9c70-c85336d86c1b,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,226,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"171,775",https://ehrafworldcultures.yale.edu/sres/06d9b3ee-cfdf-4dfd-9c70-c85336d86c1b
ff395cb1-ce38-41ad-ab99-3f7110e3c6a4,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,224,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"769,827",https://ehrafworldcultures.yale.edu/sres/ff395cb1-ce38-41ad-ab99-3f7110e3c6a4
b1252bce-c4f2-436b-aeeb-58b1e151ed6d,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,161,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"753,768,775,843",https://ehrafworldcultures.yale.edu/sres/b1252bce-c4f2-436b-aeeb-58b1e151ed6d
f550ee67-40ca-44b0-8e9d-7a2eb010af75,"Krige, Eileen Jensen, 1904-",The social system of the Zulus,1965,174,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"766,769,778,825",https://ehrafworldcultures.yale.edu/sres/f550ee67-40ca-44b0-8e9d-7a2eb010af75
d925949f-af11-4b7f-b8fc-d32250e1d578,"Raum, Otto Friedrich","The social functions of avoidances and taboos among the
         Zulu",1973,163,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"764,769,778,784",https://ehrafworldcultures.yale.edu/sres/d925949f-af11-4b7f-b8fc-d32250e1d578
a46481b0-7c4a-4c00-be13-9b6e282f93b0,"Callaway, Henry, 1817-1890","The religious system of the Amazulu: izinyanga zokubula; or,
         divination, as existing among the Amazulu, in their own words, with a translation into
         English, and notes",1870,5,Monograph,Zulu,Africa,Southern Africa,agro-pastoralists,,"539,753,755,769,773,825",https://ehrafworldcultures.yale.edu/sres/a46481b0-7c4a-4c00-be13-9b6e282f93b0
