uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink,Raw Text,Text,769 - Cult of the Dead,771 - General Character of Religion,772 - Cosmology,773 - Mythology,774 - Animism,775 - Eschatology,776 - Spirits and Gods,777 - Luck and Chance,778 - Sacred Objects and Places,779 - Theological Systems,787 - Revelation and Divination,match_flag
156a4442-a5d6-4bc8-9d3d-c16dd47f0107,"Birket-Smith, Kaj, 1893-1977","The Eyak Indians of the Copper River Delta, Alaska",9999,251,Monograph,Eyak,North America,Arctic and Subarctic,hunter-gatherers,,773,https://ehrafworldcultures.yale.edu/sres/156a4442-a5d6-4bc8-9d3d-c16dd47f0107,create_new_folder[Old Man Dude did not remember the rest.]Load in context773Mythology,[Old Man Dude did not remember the rest.],0,0,0,1,0,0,0,0,0,0,0,False
a4e74323-1aee-45c1-877b-0bf0efb2f368,"Herskovits, Melville Jean, 1895-1963",Rebel destiny: among the bush Negroes of Dutch Guiana,1934,[214],Monograph,Saramaka,South America,Amazon and Orinoco,other subsistence combinations,,"765,775",https://ehrafworldcultures.yale.edu/sres/a4e74323-1aee-45c1-877b-0bf0efb2f368,"create_new_folderAnd Fenekonde said, â€œMourning is hard. The widow must not go to the
                  river alone to wash. Other women must take her there. Her husbandâ€™s spirit might
                  seize her. Her hair must be cut. If not, he will get her by the hair. Her clothes
                  must be ugly. She must keep herself unclean, so that his ghost will not long for
                  her when he sees her.â€Load in context765Mourning775Eschatology","And Fenekonde said, ?œMourning is hard. The widow must not go to the
                  river alone to wash. Other women must take her there. Her husband?™s spirit might
                  seize her. Her hair must be cut. If not, he will get her by the hair. Her clothes
                  must be ugly. She must keep herself unclean, so that his ghost will not long for
                  her when he sees her.?",0,0,0,0,0,1,0,0,0,0,0,False
48977526-ef0a-40ad-959f-a2d9196c7c9c,"Underhill, Ruth, 1883-1984",Papago Indian religion,1946,295,Monograph,O'odham,North America,Southwest and Basin,other subsistence combinations,,"534,753,776",https://ehrafworldcultures.yale.edu/sres/48977526-ef0a-40ad-959f-a2d9196c7c9c,"create_new_folderNot only animals caused sickness,
                  but plants, winds and undefined mythical beings. A very common one waspíhuri,spokeninsert_drive_file296of as a little old blind man with
                  red-rimmed eyes. He passed people on the road, and the wind blowing from him to
                  them caused trachoma and other eye troubles. A whole series of songs describespíhuri'spersonal
                  habits. No fetish is used. The musical instrument is an especially stout scraping stick of cactus rib with very fine
                  notches.Load in context534Musical Instruments753Theory of Disease776Spirits and Gods","Not only animals caused sickness,
                  but plants, winds and undefined mythical beings. A very common one waspíhuri,spokeninsert_drive_file296of as a little old blind man with
                  red-rimmed eyes. He passed people on the road, and the wind blowing from him to
                  them caused trachoma and other eye troubles. A whole series of songs describespíhuri'spersonal
                  habits. No fetish is used. The musical instrument is an especially stout scraping stick of cactus rib with very fine
                  notches.",0,0,0,0,0,0,1,0,0,0,0,False
91eead0e-138b-4a17-9333-89ec97d111b1,"Spier, Leslie, 1893-1961",Klamath ethnography,1930,255,Monograph,Klamath,North America,Plains and Plateau,hunter-gatherers,,"171,562,756,787",https://ehrafworldcultures.yale.edu/sres/91eead0e-138b-4a17-9333-89ec97d111b1,"create_new_folderMen are more frequently successful in
                  acquiring power than women and are accordingly more often shamans among the
                  Thompson, Klallam, Quinault, Snohomish, Nisqually, Wishram, and Klamath. The
                  evidence is quite definite on this point. Among the Tillamook and Nez Percé both
                  sexes obtained powers: it is conceivable that men predominated.Load in context171Comparative Evidence562Gender Status756Shamans and Psychotherapists787Revelation and Divination","Men are more frequently successful in
                  acquiring power than women and are accordingly more often shamans among the
                  Thompson, Klallam, Quinault, Snohomish, Nisqually, Wishram, and Klamath. The
                  evidence is quite definite on this point. Among the Tillamook and Nez Percé both
                  sexes obtained powers: it is conceivable that men predominated.",0,0,0,0,0,0,0,0,0,0,1,False
5d3491af-c8e1-4395-9b49-c2aadda656c3,"Lamphere, Louise",Symbolic elements in Navajo ritual,1969,281,Journal Article,Navajo,North America,Southwest and Basin,agro-pastoralists,,"121,751,753,755,772,000",https://ehrafworldcultures.yale.edu/sres/5d3491af-c8e1-4395-9b49-c2aadda656c3,"create_new_folderThe second theme deals with the
               natural-supernatural world as related to the cure of the patient. Illness is thought
               to be a state of â€œugly conditionsâ€ (hÃ³châ–¡) which has resulted from the patient's contact with something
               â€œdangerous.â€ If a chant is performed which acts against the relevant â€œdangerousâ€
               factor and which invokes the aid of the properdiyin dine'Ã©',the patient will be returned
               to a state of â€œpleasant conditionsâ€ (hÃ³zhâ–¡). Symbolic objects and actions used
               with reference to the patient's
               body effect this transformation. The bodily reference of symbols is suggested by
               Turner (1966) in his article on â€œColour Classification in Ndembu Ritual.â€ He focuses
               on the importance of certain bodily and emotional experiences. The three
               colorsâ€”white, red, and blackâ€”which are prominent in Ndembu ritual represent products
               of the human body (e.g., milk, blood, and faeces),whose emission, spilling, or production is associated
                     with a heightening of emotion. â€¦ These heightened bodily experiences are felt
                     to be informed with a power in excess of that averagely possessed by the
                     individual; its source may be located in the cosmos or in society; analogues of
                     physical experience may then be found wherever the same colours occur in
                     nature; or else experience of social relations in heightened emotional
                     circumstances may beclassifiedunder a colour rubric (Turner 1966:80).insert_drive_file282In other words,Not only do the three colours stand for basic human
                     experiences of the body (associated with the gratification of libido, hunger,
                     aggressive and excretory drives and with fear, anxiety, and submissiveness),
                     they also provide a kind of primordial classification of reality (Turner
                     1966:81).Load in context121Theoretical Orientation751Preventive Medicine753Theory of Disease755Magical and Mental Therapy772Cosmology784Avoidance and Taboo","The second theme deals with the
               natural-supernatural world as related to the cure of the patient. Illness is thought
               to be a state of ?œugly conditions? (hÃ³châ–¡) which has resulted from the patient's contact with something
               ?œdangerous.? If a chant is performed which acts against the relevant ?œdangerous?
               factor and which invokes the aid of the properdiyin dine'é',the patient will be returned
               to a state of ?œpleasant conditions? (hÃ³zhâ–¡). Symbolic objects and actions used
               with reference to the patient's
               body effect this transformation. The bodily reference of symbols is suggested by
               Turner (1966) in his article on ?œColour Classification in Ndembu Ritual.? He focuses
               on the importance of certain bodily and emotional experiences. The three
               colors?”white, red, and black?”which are prominent in Ndembu ritual represent products
               of the human body (e.g., milk, blood, and faeces),whose emission, spilling, or production is associated
                     with a heightening of emotion. ... These heightened bodily experiences are felt
                     to be informed with a power in excess of that averagely possessed by the
                     individual; its source may be located in the cosmos or in society; analogues of
                     physical experience may then be found wherever the same colours occur in
                     nature; or else experience of social relations in heightened emotional
                     circumstances may beclassifiedunder a colour rubric (Turner 1966:80).insert_drive_file282In other words,Not only do the three colours stand for basic human
                     experiences of the body (associated with the gratification of libido, hunger,
                     aggressive and excretory drives and with fear, anxiety, and submissiveness),
                     they also provide a kind of primordial classification of reality (Turner
                     1966:81).",0,0,1,0,0,0,0,0,0,0,0,False
c63f82a7-b74f-4d0c-b0da-4d4ccea5e2b7,"Gelfand, Michael","Ukama, reflections on Shona and Western cultures in
         Zimbabwe",1981,50,Monograph,Shona,Africa,Southern Africa,agro-pastoralists,,"124,177,178,771",https://ehrafworldcultures.yale.edu/sres/c63f82a7-b74f-4d0c-b0da-4d4ccea5e2b7,"create_new_folderWould you expect your child to marry a person of the same totem
                     (mutupo chidao)
                  as yours?Load in context124Interviewing in Research177Acculturation and Culture Contact178Sociocultural Trends771General Character of Religion","Would you expect your child to marry a person of the same totem
                     (mutupo chidao)
                  as yours?",0,1,0,0,0,0,0,0,0,0,0,False
4a46e934-94fa-41d7-b332-3ff497afbe2b,"Henderson, Helen Kreider",Ritual roles of women in Onitsha Ibo society,1970,431,Monograph,Igbo,Africa,Western Africa,horticulturalists,,"765,769",https://ehrafworldcultures.yale.edu/sres/4a46e934-94fa-41d7-b332-3ff497afbe2b,"create_new_folderFood prepared for this rite is
                  eaten by the Daughters and the remains are buried along with what is left of the
                  herb-chalk cleansing mixture. The burial of these items may be interpreted as both
                  a feeding of the ancestors and a means of communicating to them the new separation
                  of theinsert_drive_file432widow from her husband.Load in context765Mourning769Cult of the Dead","Food prepared for this rite is
                  eaten by the Daughters and the remains are buried along with what is left of the
                  herb-chalk cleansing mixture. The burial of these items may be interpreted as both
                  a feeding of the ancestors and a means of communicating to them the new separation
                  of theinsert_drive_file432widow from her husband.",1,0,0,0,0,0,0,0,0,0,0,False
5ed85cbb-8996-4eb2-ba98-b2b4f0ec472b,"Soustelle, Jacques, 1912-","The daily life of the Aztecs on the eve of the Spanish
         conquest",1961,171,Monograph,Aztecs,Middle America and the Caribbean,Central Mexico,intensive agriculturalists,,"776,792,871",https://ehrafworldcultures.yale.edu/sres/5ed85cbb-8996-4eb2-ba98-b2b4f0ec472b,"create_new_folderUnderlying this contrast is the
               contrast between the gods who presided over the two branches of education. The god of
               thecalmecacwas
               Quetzalcoatl, the priests' own god, the god of self-sacrifice and penance, of books,
               the calendar and the arts, the symbol of abnegation and of culture. The young men's
               god was Tezcatlipoca, who was also called Telpochtli, â€˜the young manâ€™, and Yaoti,
               â€˜the warriorâ€™, Quetzalcoatl's old enemy who had expelled him from the earthly
               paradise of Tula long ago by his enchantments.Load in context776Spirits and Gods792Prophets and Ascetics871Education System","Underlying this contrast is the
               contrast between the gods who presided over the two branches of education. The god of
               thecalmecacwas
               Quetzalcoatl, the priests' own god, the god of self-sacrifice and penance, of books,
               the calendar and the arts, the symbol of abnegation and of culture. The young men's
               god was Tezcatlipoca, who was also called Telpochtli, â€˜the young man?™, and Yaoti,
               â€˜the warrior?™, Quetzalcoatl's old enemy who had expelled him from the earthly
               paradise of Tula long ago by his enchantments.",0,0,0,0,0,0,1,0,0,0,0,False
307258a0-da57-4abf-adf2-c7150d806a21,"Bastian, Misty L.","The world as marketplace: historical, cosmological, and
         popular constructions of the Onitsha market system",1992,149,Monograph,Igbo,Africa,Western Africa,horticulturalists,,"121,771,789",https://ehrafworldcultures.yale.edu/sres/307258a0-da57-4abf-adf2-c7150d806a21,"create_new_folderThe reader may well wonder what
                  is â€œcommonâ€ about the taking of body parts and the making of money magicâ€”in
                  Nigeria or elsewhere. Aspects of what I call â€œthe preternaturalâ€ are very much a
                  part of contemporary Nigerian popularinsert_drive_file150discourse, although I never
                  planned to make it the focus of my work. My proposal for field research in the
                  Onitsha market system had no provision for an investigation of indigenous stories
                  aboutjuju.Over the
                  course of my stay in the country, however, these discourses on the preternatural,
                  both from written and oral sources, impressed themselves on me, and have
                  subsequently colored much of my research writing.Jujuand the preternatural, I have come to
                  believe, are key for understanding the current Nigerian situationâ€”not because
                  Africanist anthropologists have always studied these topics, but because
                  indigenous people themselves find them an involving and useful way to talk about
                  their predicaments, as well as because one of the Nigerian predicaments, from a
                  Nigerian point of view, really is the problem ofjujuin their country.Load in context121Theoretical Orientation771General Character of Religion789Magic","The reader may well wonder what
                  is ?œcommon? about the taking of body parts and the making of money magic?”in
                  Nigeria or elsewhere. Aspects of what I call ?œthe preternatural? are very much a
                  part of contemporary Nigerian popularinsert_drive_file150discourse, although I never
                  planned to make it the focus of my work. My proposal for field research in the
                  Onitsha market system had no provision for an investigation of indigenous stories
                  aboutjuju.Over the
                  course of my stay in the country, however, these discourses on the preternatural,
                  both from written and oral sources, impressed themselves on me, and have
                  subsequently colored much of my research writing.Jujuand the preternatural, I have come to
                  believe, are key for understanding the current Nigerian situation?”not because
                  Africanist anthropologists have always studied these topics, but because
                  indigenous people themselves find them an involving and useful way to talk about
                  their predicaments, as well as because one of the Nigerian predicaments, from a
                  Nigerian point of view, really is the problem ofjujuin their country.",0,1,0,0,0,0,0,0,0,0,0,False
957db50a-f35b-4fe3-93bf-914471d8d065,"Izikowitz, Karl Gustav, 1903-1984",Lamet: hill peasants in French Indochina,1951,86,Monograph,Rmeet,Asia,Southeast Asia,horticulturalists,,"173,614,773",https://ehrafworldcultures.yale.edu/sres/957db50a-f35b-4fe3-93bf-914471d8d065,"create_new_folderTheÄ‡Å“itclan which is possibly of Khmu origin, I
               callÄ‡Å“it-B in contrast
               to the Lamet clanÄ‡Å“it-A. In the myth which tells ofÄ‡Å“it-B, the deer andtavï»¿É”clans are also mentioned. In Mokala
               Panghay the only housefather of thetavï»¿É”kin is a descendant of the Khmu. Since the three clansÄ‡Å“it-B,kiÄk, andtavï»¿É”form an allied whole in
               one and the same myth, it is not incredible that all these are really Khmu clans.Load in context173Traditional History614Clans773Mythology","Thećœitclan which is possibly of Khmu origin, I
               callćœit-B in contrast
               to the Lamet clanćœit-A. In the myth which tells ofćœit-B, the deer andtav﻿ɔclans are also mentioned. In Mokala
               Panghay the only housefather of thetav﻿ɔkin is a descendant of the Khmu. Since the three clansćœit-B,kiāk, andtav﻿ɔform an allied whole in
               one and the same myth, it is not incredible that all these are really Khmu clans.",0,0,0,1,0,0,0,0,0,0,0,False
